Product,Name,Rating,CommentHead,Comment,Date
apple-iphone-12-white-128-gb,Flipkart Customer,1,Worst experience ever!,"Overall performance of the phone is good as expected from Apple, but there is major overheating problem with the phone with minor usage and during charging(even with authentic 20w charger). The phone feels real hot even with minor usage especially on upper left side and left side. During charging, the phone gets very hot(not warm, like literally hot), so i have to plug out the charger after 10 minutes to avoid further heating. I don’t know if the problem is only with my device or its general,...",4 months ago
apple-iphone-12-white-128-gb,Sidhant Nayak,5,Worth every penny,"After being a long time samsung user i switched to iphone again after iphone 4s and i am thoroughly enjoying it. Ios 14 is much polished and android users will surely enjoy using ios now. Battry lasts a day with moderate use. Performance, usability, camera, sound and display everything is top notch. Icing on the cake apple car play is much more usable than android auto😬😬",8 months ago
apple-iphone-12-white-128-gb,Kannan G,5,Best in the market!,So far so good. It’s my dream to own an iPhone for over a decade. Finally came true with iPhone 12. Previously owned Samsung S9 plus so competing with android i will say my likes and dislikes.Likes:1. OS is really fluid2. Security features like facial recognition for app installation etc3. Little nuances like ringtone sound reduction automatically after I see the mobile4. Camera is good though still equal to Samsung can’t say extraordinary 5. Facial unlock is really quick6. 5G ready s...,10 months ago
apple-iphone-12-white-128-gb,Vipin BHASKAR,5,Great product,"What a amazing phone ! I bought this amazing beast for my soul mate & she’s very happy and blissful. Wonderful camera , beautiful design must buy worth every penny",7 months ago
apple-iphone-12-white-128-gb,Abhilash K,5,Great product,"First time in my life I'm trying iphone, I'm an android Samsung note user. There are no powerful android phones which are compact to use single handedly..that's the main reason I'm living the iPhone. I didn't go for the 12 Pro max as it is ginormous in size and the 12 mini was reviewed to have sub par battery life. 12 and 12 Pro are the ideal phones for the best of both worlds. I didnt need the telephoto and Lidar camera, so I went with 12 to save some thousands. I'm enjoying the single hande...",10 months ago
apple-iphone-12-white-128-gb,Sandip Das,5,Excellent,"Switched from Android to iOS and won’t regret a bit. This one of the best devices have used in a while. Pros: 1. Performance is super snappy, no lags whatsoever. 2. Battery performance is pretty good too. M not a heavy user so currently charging it once every two days. 3. Haven’t used camera much but pretty sure it’s splendid too. 4. Size is spot on, neither too big nor too small. Very easy to use in one hand. 5. Display is good too. One note though, for those feeling display is too w...",9 months ago
apple-iphone-12-white-128-gb,Rupesh Thik,5,Simply awesome,Awesome Camera,4 months ago
apple-iphone-12-white-128-gb,Sibsankar Das,5,Must buy!,Camera quality is just fabulous. Interface is very smooth.  Good for photography and videography.,"Mar, 2021"
apple-iphone-12-white-128-gb,Kevin Konda,5,Wonderful,"Upgraded from iPhone X.Noticed 3 major differences instantly.1. Lot of difference in camera pictures. The best camera model from iPhone so far2. Light weight and feels very handy during one hand use3. Screen brightness is better than iPhone XNot mentioning about other aspects like performance , speed as they already are close to perfect. Battery - not more than one complete day after constant usage of WhatsApp, safari, emails, spotify music & youtube videos","Feb, 2021"
apple-iphone-12-white-128-gb,Vijaya Kurkute,5,Highly recommended,"Thanx flipkart for value super sale for short time period of 1hour😁, flipkart might need to work on faster deliveryIphone 12 which i got in best price on flipkart1. Camera performance - superb2. Display - superb3. Interface - Amazing",5 months ago
apple-iphone-12-white-128-gb,Sumit Sawariya,5,Best in the market!,Best camera and great battery backup low light picks are awesome and best aperture 1.7 And the pics from Night come out great. best value for money 🤟🏻👌🏻,3 months ago
