Product,Name,Rating,CommentHead,Comment,Date
apple-iphone-12-white-128-gb,Deepak Kumar,5,Simply awesome,"I got my I phone 12 in just 2 days of order, Thanks flipkart for delivering it faster.Pros:Super faster than previous version Display is amazing Speaker is absolutely perfect.It gives very classic premium looks.Cons:Charger & earphones are not coming in the box for the you need to spend 4k extra.Cost is very high.Battery backup is not good, it gives only 8hrs like previous versions.",9 months ago
apple-iphone-12-white-128-gb,Anjali Singh,5,Excellent,"It's my first iphone ever n i brought it with all my earned money✌✌The best is yet to come n i am really happy with the product was delivered on time by flipkart Overall it's  light weighted, awesome camera quality n i love the purple color 😍🥰 so it's a dream come to true finally have a iphone ✌💯",4 months ago
apple-iphone-12-white-128-gb,Ashish kumar Jha,5,Terrific,Product is very fantastic i am just love it. Display is awesome. Performance like buttery smooth. Iam android user before 6year but never experience like this performance. You can definitely go for this. Due to late delivery i give only three star.,7 months ago
apple-iphone-12-white-128-gb,Adam Clarey,4,Value-for-money,I want to tell u something before I say anything about this iphone I'm not downgrading this iphone I just wasn't surprised enough after using the phone honestly it made me older.... Camera is the best no need to worry about that...the bionic A14 chip is fast no lags or anything screen is good too...ummm everything is fine but if u want to try something new don't go for iphone...that's my opinion...,10 months ago
apple-iphone-12-white-128-gb,Mrinal Das,5,Great product,"Finally moved from Android (OnePlus 7T) to iOS & it’s a different level. Display is outstanding. Camera superb as usual. But surprised with the battery performance, its really great. Only drawback is the missing of 90Hz display, missed the fluidity of that. May be with time will habituated with that. But it’s worth noting. Overall an awesome luxurious experience from a luxurious brand.",10 months ago
apple-iphone-12-white-128-gb,Faiz Mohammad,5,Simply awesome,"Moved to iPhone from Android since cupcake days and I’m loving it so far. Brilliant display, camera and performance. IOS is still a little behind Android in terms of features and shortcuts in my opinion but it’s very close. Still getting used to all the features of iOS. Per-ordered on the launch day and it arrived barely on time. Overall happy with the purchase.","Nov, 2020"
apple-iphone-12-white-128-gb,Flipkart Customer,5,Best in the market!,"Migration from android to iOS, very much exited to use this phone and the quality of the camera is very good, faster and m very happy with the product. Request to send the proper bill along with the product n that is the only concern I have. Thank you.",6 months ago
apple-iphone-12-white-128-gb,Animesh Gour,5,Awesome,It feels so premium and beautiful when u carry this masterpiece 😍😍😍🥰❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥fully satisfied with the product  thnks to flipkart and supercom seller who are selling 100%genuine product  at discounted price(since i buyed this in bbdaysale)Attractive new design with MagSafeComprehensive 5G coverageImpressive dual cameras(just wow)Fastest performance in phone 60hz refresh rate is not a point of concern a14 bionic chip is beast among beastSolid battery lifeIt has huge value f...,4 months ago
apple-iphone-12-white-128-gb,PREM  KUMAR,4,Very Good,I am first time use iphone very fast performance battery backup to good iphone unic features copy paste double tap screen shot extra very help ful  camera low light very good but camera manual mode missing no hug but some time get bugs crome browser totally 9/10 thanks to apple 🍏,3 months ago
apple-iphone-12-white-128-gb,Athul Shabu,5,Must buy!,"Top class performance  and battery backup too. Charges quickly if u are using a 20w charger. Night mode is good , HDR mode works flawlessly. VFM phone.",5 months ago
